commit.hash;semantic.patch;phase1.success;phase2.success\n
0d4a6608f68c;alloc_cast.output;true;false
0d4a6608f68c;array_size.output;true;false
0d4a6608f68c;badty.output;true;false
0d4a6608f68c;badzero.output;true;false
0d4a6608f68c;boolconv.output;false;false
0d4a6608f68c;boolinit.output;true;false
0d4a6608f68c;boolreturn.output;true;false
0d4a6608f68c;bugon.output;true;false
0d4a6608f68c;call_kern.output;true;false
0d4a6608f68c;clk_put.output;false;false
0d4a6608f68c;cond_no_effect.output;false;false
0d4a6608f68c;cstptr.output;false;false
0d4a6608f68c;d_find_alias.output;true;false
0d4a6608f68c;debugfs_simple_attr.output;true;false
0d4a6608f68c;deref_null.output;false;false
0d4a6608f68c;device_node_continue.output;true;false
0d4a6608f68c;devm_free.output;false;false
0d4a6608f68c;double_lock.output;false;false
0d4a6608f68c;doublebitand.output;false;false
0d4a6608f68c;doubleinit.output;false;false
0d4a6608f68c;doubletest.output;false;false
0d4a6608f68c;drm-get-put.output;true;false
0d4a6608f68c;eno.output;true;false
0d4a6608f68c;err_cast.output;true;false
0d4a6608f68c;fen.output;true;false
0d4a6608f68c;flags.output;false;false
0d4a6608f68c;ifaddr.output;false;false
0d4a6608f68c;ifcol.output;false;false
0d4a6608f68c;ifnullfree.output;true;false
0d4a6608f68c;iounmap.output;false;false
0d4a6608f68c;irqf_oneshot.output;true;false
0d4a6608f68c;itnull.output;true;true
0d4a6608f68c;kfree.output;false;false
0d4a6608f68c;kfreeaddr.output;false;false
0d4a6608f68c;kmerr.output;false;false
0d4a6608f68c;kstrdup.output;true;false
0d4a6608f68c;kzalloc-simple.output;true;false
0d4a6608f68c;list_entry_update.output;false;false
0d4a6608f68c;memdup.output;true;false
0d4a6608f68c;memdup_user.output;true;true
0d4a6608f68c;mini_lock.output;false;false
0d4a6608f68c;noderef.output;true;false
0d4a6608f68c;odd_ptr_err.output;true;false
0d4a6608f68c;of_table.output;true;false
0d4a6608f68c;orplus.output;false;false
0d4a6608f68c;pci_free_consistent.output;false;false
0d4a6608f68c;platform_no_drv_owner.output;true;false
0d4a6608f68c;pm_runtime.output;false;false
0d4a6608f68c;pool_zalloc-simple.output;true;false
0d4a6608f68c;ptr_ret.output;true;false
0d4a6608f68c;resource_size.output;true;false
0d4a6608f68c;returnvar.output;true;false
0d4a6608f68c;semicolon.output;true;false
0d4a6608f68c;setup_timer.output;true;false
0d4a6608f68c;simple_open.output;true;false
0d4a6608f68c;unsigned_lesser_than_zero.output;false;false
0d4a6608f68c;use_after_iter.output;false;false
0d4a6608f68c;vma_pages.output;true;false
0d4a6608f68c;warn.output;true;false
134bd90286d;alloc_cast.output;true;false
134bd90286d;array_size.output;true;false
134bd90286d;badty.output;true;false
134bd90286d;badzero.output;true;false
134bd90286d;boolconv.output;false;false
134bd90286d;boolinit.output;true;false
134bd90286d;boolreturn.output;true;false
134bd90286d;bugon.output;true;false
134bd90286d;call_kern.output;true;false
134bd90286d;check_bq27xxx_data.output;true;true
134bd90286d;clk_put.output;false;false
134bd90286d;cond_no_effect.output;false;false
134bd90286d;cstptr.output;false;false
134bd90286d;d_find_alias.output;true;false
134bd90286d;debugfs_simple_attr.output;true;false
134bd90286d;deref_null.output;false;false
134bd90286d;device_node_continue.output;true;false
134bd90286d;devm_free.output;false;false
134bd90286d;double_lock.output;false;false
134bd90286d;doublebitand.output;false;false
134bd90286d;doubleinit.output;false;false
134bd90286d;doubletest.output;false;false
134bd90286d;drm-get-put.output;true;false
134bd90286d;eno.output;true;false
134bd90286d;err_cast.output;true;false
134bd90286d;fen.output;true;false
134bd90286d;flags.output;false;false
134bd90286d;ifaddr.output;false;false
134bd90286d;ifcol.output;false;false
134bd90286d;ifnullfree.output;true;false
134bd90286d;iounmap.output;false;false
134bd90286d;irqf_oneshot.output;true;false
134bd90286d;itnull.output;true;true
134bd90286d;kfree.output;false;false
134bd90286d;kfreeaddr.output;false;false
134bd90286d;kmerr.output;false;false
134bd90286d;kstrdup.output;true;false
134bd90286d;list_entry_update.output;false;false
134bd90286d;memdup.output;true;true
134bd90286d;memdup_user.output;true;true
134bd90286d;mini_lock.output;false;false
134bd90286d;noderef.output;true;false
134bd90286d;odd_ptr_err.output;true;false
134bd90286d;of_table.output;true;false
134bd90286d;orplus.output;false;false
134bd90286d;pci_free_consistent.output;false;false
134bd90286d;platform_no_drv_owner.output;true;false
134bd90286d;pm_runtime.output;false;false
134bd90286d;pool_zalloc-simple.output;true;false
134bd90286d;ptr_ret.output;true;false
134bd90286d;resource_size.output;true;false
134bd90286d;returnvar.output;true;false
134bd90286d;semicolon.output;true;false
134bd90286d;simple_open.output;true;false
134bd90286d;unsigned_lesser_than_zero.output;false;false
134bd90286d;use_after_iter.output;false;false
134bd90286d;vma_pages.output;true;false
134bd90286d;warn.output;true;false
134bd90286d;zalloc-simple.output;true;false
15b4dd798149;alloc_cast.output;true;false
15b4dd798149;array_size.output;true;false
15b4dd798149;badty.output;true;false
15b4dd798149;badzero.output;true;false
15b4dd798149;boolconv.output;false;false
15b4dd798149;boolinit.output;true;false
15b4dd798149;boolreturn.output;true;false
15b4dd798149;bugon.output;true;false
15b4dd798149;call_kern.output;true;false
15b4dd798149;check_bq27xxx_data.output;true;true
15b4dd798149;clk_put.output;false;false
15b4dd798149;cond_no_effect.output;false;false
15b4dd798149;cstptr.output;false;false
15b4dd798149;d_find_alias.output;true;false
15b4dd798149;debugfs_simple_attr.output;true;false
15b4dd798149;deref_null.output;false;false
15b4dd798149;device_node_continue.output;true;false
15b4dd798149;devm_free.output;false;false
15b4dd798149;double_lock.output;false;false
15b4dd798149;doublebitand.output;false;false
15b4dd798149;doubleinit.output;false;false
15b4dd798149;doubletest.output;false;false
15b4dd798149;drm-get-put.output;true;false
15b4dd798149;eno.output;true;false
15b4dd798149;err_cast.output;true;false
15b4dd798149;fen.output;true;false
15b4dd798149;flags.output;false;false
15b4dd798149;ifaddr.output;false;false
15b4dd798149;ifcol.output;false;false
15b4dd798149;ifnullfree.output;true;false
15b4dd798149;iounmap.output;false;false
15b4dd798149;irqf_oneshot.output;true;false
15b4dd798149;itnull.output;true;true
15b4dd798149;kfree.output;false;false
15b4dd798149;kfreeaddr.output;false;false
15b4dd798149;kmerr.output;false;false
15b4dd798149;kstrdup.output;true;false
15b4dd798149;list_entry_update.output;false;false
15b4dd798149;memdup.output;true;false
15b4dd798149;memdup_user.output;true;true
15b4dd798149;mini_lock.output;false;false
15b4dd798149;noderef.output;true;false
15b4dd798149;odd_ptr_err.output;true;false
15b4dd798149;of_table.output;true;false
15b4dd798149;orplus.output;false;false
15b4dd798149;pci_free_consistent.output;false;false
15b4dd798149;platform_no_drv_owner.output;true;false
15b4dd798149;pm_runtime.output;false;false
15b4dd798149;pool_zalloc-simple.output;true;false
15b4dd798149;ptr_ret.output;true;false
15b4dd798149;resource_size.output;true;false
15b4dd798149;returnvar.output;true;false
15b4dd798149;semicolon.output;true;false
15b4dd798149;simple_open.output;true;false
15b4dd798149;unsigned_lesser_than_zero.output;false;false
15b4dd798149;use_after_iter.output;false;false
15b4dd798149;vma_pages.output;true;false
15b4dd798149;warn.output;true;false
15b4dd798149;zalloc-simple.output;true;false
