semantic.patch;exit.status;perc.of.cpu;elapsed.real.time;elapsed.system.time;elapsed.user.time
fen;0;130%;22.63;4.87;24.75
fen;0;175%;17.35;4.92;25.56
fen;0;599%;3.64;3.65;18.18
fen;0;649%;5.45;4.91;30.55
fen;0;69%;42.83;4.72;25.07
fen;0;347%;8.20;5.30;23.19
fen;0;479%;5.30;4.12;21.27
fen;0;488%;4.97;4.04;20.27
fen;0;155%;16.33;5.64;19.69
fen;0;537%;5.14;4.03;23.62
fen;0;68%;34.85;4.58;19.38
fen;0;70%;39.51;5.23;22.66
fen;0;315%;10.50;6.10;27.02
fen;0;244%;12.95;5.55;26.14
fen;0;176%;15.86;4.64;23.30
fen;0;545%;4.56;4.05;20.84
fen;0;96%;22.38;4.59;17.02
fen;0;518%;4.69;3.94;20.42
fen;0;659%;3.83;3.68;21.63
setup_timer;0;227%;15.47;6.33;28.90
setup_timer;0;209%;20.39;7.11;35.71
setup_timer;0;198%;23.51;6.78;39.89
setup_timer;0;217%;55.91;6.37;115.32
setup_timer;0;196%;20.37;5.89;34.19
setup_timer;0;127%;74.76;5.84;89.49
setup_timer;0;202%;28.55;6.86;50.97
setup_timer;0;201%;21.15;6.51;36.12
setup_timer;0;145%;70.04;5.83;95.82
setup_timer;0;213%;52.64;7.04;105.28
boolconv;0;43%;6.25;1.27;1.45
boolconv;0;12%;17.09;1.07;1.05
boolconv;0;111%;0.18;0.07;0.13
boolconv;0;110%;0.09;0.03;0.07
boolconv;0;8%;17.45;0.69;0.80
boolconv;0;64%;3.48;1.18;1.06
boolconv;0;112%;0.16;0.07;0.10
boolconv;0;97%;1.20;0.53;0.64
boolconv;0;15%;12.74;1.00;1.02
boolconv;0;110%;0.09;0.03;0.06
boolconv;0;4%;46.95;0.97;1.05
boolconv;0;76%;2.93;1.12;1.11
boolconv;0;15%;17.01;1.32;1.28
boolconv;0;12%;17.46;1.14;1.11
boolconv;0;27%;7.80;1.10;1.04
boolconv;0;110%;0.25;0.07;0.20
boolconv;0;7%;25.68;0.97;1.01
boolconv;0;110%;0.24;0.09;0.17
boolconv;0;111%;0.18;0.07;0.12
list_entry_update;0;13%;16.98;1.11;1.24
list_entry_update;0;23%;9.77;1.14;1.16
list_entry_update;0;110%;0.09;0.03;0.06
list_entry_update;0;109%;0.10;0.04;0.07
list_entry_update;0;7%;26.18;1.04;0.98
list_entry_update;0;15%;13.11;1.06;1.01
list_entry_update;0;109%;0.09;0.04;0.05
list_entry_update;0;102%;0.83;0.34;0.51
list_entry_update;0;14%;15.94;1.20;1.04
list_entry_update;0;110%;0.25;0.12;0.16
list_entry_update;0;5%;37.55;0.94;0.99
list_entry_update;0;5%;37.80;0.99;1.07
list_entry_update;0;15%;15.61;1.17;1.25
list_entry_update;0;18%;12.03;1.10;1.13
list_entry_update;0;50%;4.19;1.09;1.01
list_entry_update;0;109%;0.09;0.03;0.06
list_entry_update;0;18%;10.57;0.99;0.92
list_entry_update;0;111%;0.25;0.10;0.17
list_entry_update;0;111%;0.08;0.02;0.07
cstptr;0;10%;17.06;0.82;0.97
cstptr;0;15%;13.04;0.96;1.07
cstptr;0;109%;0.09;0.03;0.07
cstptr;0;111%;0.25;0.12;0.15
cstptr;0;10%;14.15;0.58;0.86
cstptr;0;9%;20.39;0.98;0.99
cstptr;0;111%;0.24;0.11;0.15
cstptr;0;93%;1.55;0.70;0.74
cstptr;0;14%;14.01;0.97;1.03
cstptr;0;110%;0.09;0.03;0.06
cstptr;0;24%;8.62;1.02;1.08
cstptr;0;6%;36.59;1.15;1.07
cstptr;0;18%;12.91;1.14;1.29
cstptr;0;14%;15.04;1.12;1.11
cstptr;0;55%;3.90;1.07;1.08
cstptr;0;111%;0.25;0.12;0.16
cstptr;0;18%;11.41;1.05;1.04
cstptr;0;109%;0.28;0.11;0.19
cstptr;0;111%;0.27;0.12;0.18
doubleinit;0;14%;16.54;1.16;1.27
doubleinit;0;14%;14.91;1.07;1.16
doubleinit;0;109%;0.18;0.06;0.14
doubleinit;0;110%;0.11;0.04;0.08
doubleinit;0;25%;8.40;1.06;1.05
doubleinit;0;21%;11.64;1.27;1.16
doubleinit;0;112%;0.24;0.10;0.17
doubleinit;0;100%;1.97;0.99;0.98
doubleinit;0;15%;13.22;1.06;0.98
doubleinit;0;110%;0.09;0.02;0.07
doubleinit;0;6%;31.67;0.92;1.09
doubleinit;0;7%;29.38;1.05;1.19
doubleinit;0;28%;8.46;1.06;1.37
doubleinit;0;13%;16.28;1.05;1.16
doubleinit;0;13%;14.51;0.93;0.97
doubleinit;0;110%;0.23;0.06;0.19
doubleinit;0;15%;12.75;0.93;1.05
doubleinit;0;111%;0.10;0.03;0.07
doubleinit;0;112%;0.11;0.05;0.07
mini_lock;0;14%;15.38;0.96;1.21
mini_lock;0;14%;16.25;1.04;1.23
mini_lock;0;109%;0.09;0.04;0.05
mini_lock;0;110%;0.19;0.07;0.14
mini_lock;0;87%;2.56;1.05;1.17
mini_lock;0;15%;14.13;1.08;1.14
mini_lock;0;107%;0.19;0.06;0.14
mini_lock;0;107%;1.02;0.51;0.58
mini_lock;0;13%;12.77;0.81;0.90
mini_lock;0;110%;0.09;0.03;0.07
mini_lock;0;6%;31.33;0.99;1.01
mini_lock;0;93%;2.76;1.31;1.28
mini_lock;0;14%;16.56;1.13;1.25
mini_lock;0;12%;17.32;1.05;1.15
mini_lock;0;27%;6.99;0.94;0.96
mini_lock;0;109%;0.21;0.06;0.17
mini_lock;0;5%;30.47;0.81;0.98
mini_lock;0;112%;0.14;0.07;0.09
mini_lock;0;111%;0.11;0.05;0.07
err_cast;0;685%;31.28;6.55;207.76
err_cast;0;447%;35.98;4.90;156.29
err_cast;0;741%;21.25;3.25;154.24
err_cast;0;743%;25.99;4.00;189.19
err_cast;0;380%;37.54;4.51;138.38
err_cast;0;623%;24.18;4.85;145.79
err_cast;0;736%;21.97;3.71;158.15
err_cast;0;749%;41.09;12.28;295.93
err_cast;0;396%;37.16;4.71;142.76
err_cast;0;744%;25.67;4.00;187.04
err_cast;0;728%;42.58;11.34;299.00
err_cast;0;429%;47.82;5.64;199.54
err_cast;0;450%;41.41;5.28;181.32
err_cast;0;519%;29.13;5.50;145.89
err_cast;0;656%;21.83;4.29;139.14
err_cast;0;738%;23.20;3.60;167.81
err_cast;0;211%;71.13;5.18;145.21
err_cast;0;744%;25.88;3.75;188.85
err_cast;0;754%;28.12;4.04;208.02
clk_put;0;101%;2.60;1.35;1.29
clk_put;0;20%;10.88;1.09;1.16
clk_put;0;111%;0.27;0.12;0.18
clk_put;0;111%;0.15;0.07;0.09
clk_put;0;27%;7.75;1.06;1.05
clk_put;0;14%;15.54;1.11;1.18
clk_put;0;111%;0.24;0.10;0.17
clk_put;0;108%;1.78;0.89;1.04
clk_put;0;17%;12.30;1.00;1.11
clk_put;0;110%;0.26;0.09;0.20
clk_put;0;112%;1.77;1.05;0.94
clk_put;0;91%;2.71;1.20;1.27
clk_put;0;24%;9.96;1.14;1.27
clk_put;0;13%;16.83;1.08;1.23
clk_put;0;12%;15.17;1.00;0.96
clk_put;0;110%;0.26;0.11;0.17
clk_put;0;7%;26.40;0.92;1.09
clk_put;0;110%;0.25;0.10;0.17
clk_put;0;112%;0.14;0.07;0.09
orplus;0;12%;19.15;1.09;1.29
orplus;0;22%;10.17;1.05;1.24
orplus;0;110%;0.18;0.04;0.15
orplus;0;108%;0.08;0.03;0.06
orplus;0;16%;12.50;1.02;1.05
orplus;0;34%;7.96;1.39;1.32
orplus;0;110%;0.26;0.10;0.18
orplus;0;111%;1.14;0.53;0.74
orplus;0;15%;12.84;1.03;1.02
orplus;0;110%;0.09;0.03;0.07
orplus;0;7%;25.94;0.94;1.12
orplus;0;22%;10.10;1.07;1.15
orplus;0;45%;5.66;1.29;1.30
orplus;0;12%;18.20;1.11;1.09
orplus;0;14%;13.10;0.97;0.97
orplus;0;111%;0.09;0.03;0.06
orplus;0;14%;14.26;0.94;1.07
orplus;0;109%;0.13;0.03;0.11
orplus;0;111%;0.26;0.10;0.18
doubletest;0;68%;4.36;1.61;1.36
doubletest;0;14%;15.33;1.15;1.04
doubletest;0;110%;0.25;0.11;0.16
doubletest;0;109%;0.19;0.07;0.14
